date,title,url,media
2023-04-26,Espagne : le pays en proie à la canicule,https://www.francetvinfo.fr/meteo/canicule/espagne-le-pays-en-proie-a-la-canicule_5793134.html,France 3
2023-04-25 10:34:00,VIDÉO - Incendies : les pompiers déjà en alerte au sol et dans les airs,https://www.tf1info.fr/societe/video-incendies-les-pompiers-deja-en-alerte-au-sol-et-dans-les-airs-2255118.html,TF1
2023-04-25,Incendies : une nouvelle carte météo en prévention,https://www.francetvinfo.fr/faits-divers/incendie/incendies-une-nouvelle-carte-meteo-en-prevention_5791403.html,France 3
2023-04-24,Sécheresse : en mission avec les pilotes de Canadair,https://www.francetvinfo.fr/meteo/secheresse/secheresse-en-mission-avec-les-pilotes-de-canadair_5789564.html,France 2
2023-04-24,"Sécheresse : à Noirmoutier, l’eau usée vient au secours des légumes",https://www.francetvinfo.fr/meteo/secheresse/secheresse-a-noirmoutier-l-eau-usee-vient-au-secours-des-legumes_5789648.html,France 3
2023-04-23,"Sécheresse : malgré les pluies d’avril, la situation reste inégale en France",https://www.francetvinfo.fr/meteo/secheresse/secheresse-malgre-les-pluies-d-avril-la-situation-reste-inegale-en-france_5787650.html,France 2
2023-04-22,Incendies : les pompiers déjà sur le front,https://www.francetvinfo.fr/faits-divers/incendie/incendies-les-pompiers-deja-sur-le-front_5786027.html,France 3
2023-04-22,Autoroute entre Toulouse et Castres : la mobilisation gronde,https://www.francetvinfo.fr/monde/environnement/autoroute-entre-toulouse-et-castres-la-mobilisation-gronde_5785904.html,France 2
2023-04-22,"Photo Hebdo : un lac artificiel à sec à Barcelone, une mère girafe et son petit, une photo de l’intelligence artificielle récompensée lors d’un concours… L'actualité en images",https://www.francetvinfo.fr/monde/europe/photo-hebdo-un-lac-artificiel-a-sec-a-barcelone-une-mere-girafe-et-son-petit-une-photo-de-l-intelligence-artificielle-recompensee-lors-d-un-concours-l-actualite-en-images_5786234.html,France 2
2023-04-22,Inflation : le prix des matières premières toujours aussi élevé,https://www.francetvinfo.fr/economie/inflation/inflation-le-prix-des-matieres-premieres-toujours-aussi-eleve_5786216.html,France 2
